"gender","ethnicity","birth","grade","star","read","math","lunch","school","degree","ladder","experience","tethnicity","system","schoolid","id"
"female","afam",1979.5,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"female","cauc",1980,"kindergarten","small",447,473,"non-free","rural","bachelor","level1",7,"cauc",30,63,"2"
"female","afam",1979.75,"kindergarten","small",450,536,"non-free","suburban","bachelor","level1",21,"cauc",11,20,"3"
"male","cauc",1979.75,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4"
"male","afam",1980,"kindergarten","regular+aide",439,463,"free","inner-city","bachelor","probation",0,"cauc",11,19,"5"
"male","cauc",1979.5,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6"
"male","afam",1979,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7"
"female","cauc",1979.75,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8"
"male","cauc",1979.25,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9"
"male","cauc",1979.5,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10"
"male","cauc",1980.25,"kindergarten","regular",448,559,"non-free","rural","bachelor","level1",16,"cauc",35,69,"11"
"male","cauc",1980.25,"kindergarten","small",447,489,"free","rural","bachelor","level1",5,"cauc",41,79,"12"
"male","cauc",1980.25,"kindergarten","regular",431,454,"free","rural","bachelor","level1",8,"cauc",4,5,"13"
"female","afam",1980.25,"kindergarten","regular+aide",395,423,"free","inner-city","master","level1",17,"cauc",11,16,"14"
"female","cauc",1980,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15"
"female","cauc",1980,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16"
"female","afam",1980.25,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17"
"female","afam",1979.5,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18"
"female","afam",1980.5,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19"
"male","afam",1980.25,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20"
"female","cauc",1980,"kindergarten","regular",451,500,"non-free","rural","bachelor","apprentice",3,"afam",24,56,"21"
"male","cauc",1979.25,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22"
"female","afam",1980.5,"kindergarten","small",478,439,"non-free","rural","bachelor","level1",11,"cauc",8,11,"23"
"male","cauc",1979.75,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24"
"female","cauc",1980.5,"kindergarten","small",455,528,"non-free","rural","bachelor","level1",10,"cauc",32,66,"25"
"male","cauc",1979,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26"
"female","cauc",1980.25,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27"
